Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Overall rank,Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Cost of Happiness
Albania,34.66,9.6,22.86,26.61,30.95,37.61,109,4.655,4.546,4.764,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,-1.8963080884046506
Austria,70.69666666666667,27.313333333333333,50.27,61.63333333333333,70.20333333333333,113.17333333333333,12,7.119,7.044999999999999,7.1930000000000005,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.6934300000000007,1.0226435514937655
Belarus,33.93,13.09,24.12,27.39,37.85,39.74,61,5.802,5.723,5.881,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582,-1.0651577048140293
Belgium,79.455,28.3025,55.370000000000005,72.52000000000001,84.975,97.735,18,6.929,6.861,6.997,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355,1.1453076365722719
Bulgaria,37.12,8.786666666666667,23.78,31.2,30.206666666666667,51.300000000000004,129,4.217,4.104,4.33,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377,-2.1479503385611998
Croatia,50.626,10.498000000000001,31.732,42.024,40.87,59.538,74,5.488,5.402,5.574,1.18649,0.60809,0.70524,0.23906999999999998,0.04002,0.18434,2.52462,-0.7954739263194168
Czech Republic,41.3575,14.0625,28.502499999999998,35.81,29.37,82.015,27,6.596,6.515,6.677,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211,-0.2506947380375395
Denmark,83.5575,30.7975,58.712500000000006,63.537499999999994,102.1125,125.5525,1,7.526,7.46,7.592,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939,1.7130192142125575
Estonia,51.004999999999995,14.65,33.885000000000005,38.075,51.3,74.66,72,5.517,5.437,5.597,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,1.81985,-0.7624797497745596
Finland,75.89833333333333,28.02,53.35333333333333,62.79833333333334,85.70833333333333,121.64833333333333,5,7.413,7.351,7.474999999999999,1.4059800000000002,1.13464,0.8109100000000001,0.57104,0.41004,0.25492,2.82596,1.3981102022564866
France,75.564,26.069,52.258,68.937,74.674,111.609,32,6.478,6.397,6.559,1.39488,1.00508,0.83795,0.46562000000000003,0.17808,0.1216,2.4744,0.6925676800915953
Germany,69.46117647058823,27.95294117647059,49.915882352941175,54.52823529411765,66.41235294117647,132.68,16,6.994,6.93,7.058,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931,0.8924274903066645
Greece,54.748333333333335,9.709999999999999,33.54,44.055,56.85999999999999,78.53,99,5.033,4.935,5.131,1.24886,0.75473,0.80029,0.05822,0.04127,0.0,2.12944,-1.0096559177143374
Hungary,43.16,12.41,28.68,34.665,32.42,49.224999999999994,91,5.145,5.056,5.234,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.95473,-1.2756376327050363
Iceland,104.95,47.4,77.85,97.16,111.95,84.48,3,7.501,7.333,7.669,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,2.3392241391092012
Ireland,79.6925,34.655,58.485,68.1275,80.36,120.3075,19,6.907,6.836,6.978,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,1.13610233494303
Italy,77.72206896551724,22.199310344827584,51.57896551724138,67.06758620689655,77.94655172413792,80.41793103448275,50,5.977,5.898,6.056,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2.34918,0.3849645760174557
Latvia,49.57,13.26,32.47,36.19,45.09,56.92,68,5.56,5.486,5.634,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,-0.77374871943757
Lithuania,47.459999999999994,12.815000000000001,31.15,36.31,41.065,55.730000000000004,60,5.813,5.734,5.892,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525,-0.6491623957080899
Luxembourg,80.99,51.47,67.09,61.68,100.81,148.47,20,6.871,6.804,6.938,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055,1.1484335514896638
Malta,68.43,28.99,49.86,58.42,81.58,75.11,30,6.488,6.409,6.567,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,0.48497694579543876
Moldova,27.16,8.04,18.16,21.15,19.5,30.14,55,5.897,5.823,5.971,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,3.38007,-1.198552850606803
Montenegro,40.22,12.56,27.2,30.82,36.28,52.54,88,5.161,5.055,5.267,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,2.25531,-1.3523523876925287
Netherlands,74.03222222222222,33.7,55.04,58.239999999999995,82.87444444444445,117.45666666666665,7,7.339,7.284,7.394000000000001,1.46468,1.02912,0.81231,0.55211,0.29927,0.4741600000000001,2.70749,1.2868208011643476
Norway,109.93599999999999,42.662,78.26,97.262,126.05999999999999,111.65,4,7.498,7.421000000000001,7.575,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,2.4872778024397504
Poland,38.71545454545455,13.666363636363638,26.92,30.082727272727276,32.25545454545455,72.55,57,5.835,5.749,5.921,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,-0.8963714942071039
